Plot ID,Year,Biomass,Shadow,,,,
99100101,2000,52.51564143,21.79516346,1,0.25,0.44,NA
99100102,2000,6.736041093,5.121097618,1,0.25,0.48,NA
99100201,2000,29.20758114,19.00296617,0.67,0.25,0.44,NA
99100202,2000,63.39783645,33.82459819,1,0.125,0,NA
99100301,2000,136.7838241,61.3493732,1,0.125,0,NA
99100302,2000,72.21118437,38.05790686,1,0.25,0.2,NA
99100401,2000,18.08834513,10.43280195,1,0.125,0,NA
99100402,2000,30.12879232,19.10766917,0.83,0.625,0.72,NA
99100501,2000,14.57904936,8.701306872,1,0.25,0.38,NA
99100502,2000,4.687334293,3.111081506,1,0.125,0,NA
99100601,2000,8.31622179,6.256745663,1,0.125,0,NA
99100602,2000,0.486963794,0.434746158,1,0.125,0,NA
99100701,2000,242.6156477,100.5369465,1,0.125,0,NA
99100702,2000,40.52852311,27.40398705,0.78,0.5,0.69,76.5
99100801,2000,78.7260787,40.60038523,1,0.125,0,NA
99100802,2000,60.31348477,32.19051762,1,0.125,0,NA
119600101,2001,13.41121197,13.15789481,1,0.25,0.35,70.22
119600102,2001,14.45592042,13.87608803,1,0.25,0.35,74.11
119600201,2001,14.34599003,14.07011279,0.94,0.25,0.2,54.78
119600202,2001,17.74050449,16.38901029,0.89,0.25,0.2,54.88
119600301,2001,12.8421066,12.77974759,1,0.125,0,39.22
119600302,2001,32.3786128,26.53077509,0.83,0.375,0.37,57.89
119600401,2001,4.577195079,5.48436626,0.89,0.25,0.2,39.56
119600402,2001,9.922666325,10.16503772,0.94,0.375,0.37,53
119600501,2001,17.89693087,16.81722193,1,0.25,0.44,63.33
119600502,2001,46.13994272,36.65273529,1,0.25,0.49,64.22
119600601,2001,7.806840893,8.541512903,1,0.125,0,33.78
119600602,2001,6.354908689,7.160971427,1,0.25,0.44,44.75
119600701,2001,7.229517198,7.886905525,0.94,0.375,0.59,40.89
119600702,2001,7.542913911,8.058160024,1,0.25,0.44,36
119600801,2001,27.36742225,23.54108473,1,0.25,0.35,53.5
119600802,2001,35.08566338,27.9948578,1,0.25,0.2,53.25
119600901,2001,8.909999126,9.642075641,1,0.125,0,38.11
119600902,2001,4.14359447,5.019360282,1,0.25,0.49,28.78
119601001,2001,19.87625559,18.18856483,0.72,0.375,0.57,51.14
119601002,2001,14.92983888,14.37718462,0.94,0.25,0.2,48.25
119601101,2001,9.123836995,9.72943705,0.94,0.25,0.2,49.44
119601102,2001,17.43466414,16.23358942,0.94,0.25,0.2,52.11
